Date,SKU Number,SKU Name,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,City,Sales (Qty) - Units,MRP,Gross Merchandise Value
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Ghaziabad,1,675,675
12-03-2026,5b8fc10e-bd36-4768-8fc1-5b8bcf66ac73,Nourish You Antioxidant Boost 7 in 1 Super Seed Mix 100.0 GRAM,8908005459989,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,1,125,125
12-03-2026,fa9607da-efd5-4768-afaf-f2f698d9ddd4,Nourish You Quinoa 500.0 GRAM,8908005459804,"Atta, Rice, Oil & Dals",Rice & More,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,16,289,4624
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,2,675,1350
12-03-2026,72e2abc7-9612-4da5-bd15-e66d1a94a67f,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Delhi,6,95,570
12-03-2026,8b81cda2-1695-4e7a-be76-6e5bd2f4cfd8,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal Jar 1.0 KILOGRAM",8908022410185,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Chennai,2,399,798
12-03-2026,72e2abc7-9612-4da5-bd15-e66d1a94a67f,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,8,95,760
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Ahmedabad,1,675,675
12-03-2026,fa9607da-efd5-4768-afaf-f2f698d9ddd4,Nourish You Quinoa 500.0 GRAM,8908005459804,"Atta, Rice, Oil & Dals",Rice & More,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,8,289,2312
12-03-2026,fc2f8665-c9cf-48bf-8aca-609f7d500e51,Nourish You Chia Seeds Truly Clean Chia Seeds for Eating 250.0 GRAM,8908005459828,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,14,285,3990
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Jaipur,1,675,675
12-03-2026,e656030c-27e2-400f-baa8-2ab8ea1c3cc6,Nourish You Raw Chia Seeds 500.0 GRAM,8908005459095,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,7,550,3850
12-03-2026,632214d2-54cb-416d-8839-0578e3efe662,NOURISH YOU Organic Pumpkin Seeds 100.0 GRAM,8908005459132,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Noida,1,189,189
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Chennai,2,675,1350
12-03-2026,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Gurugram,3,235,705
12-03-2026,e656030c-27e2-400f-baa8-2ab8ea1c3cc6,Nourish You Raw Chia Seeds 500.0 GRAM,8908005459095,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Ghaziabad,1,550,550
12-03-2026,72e2abc7-9612-4da5-bd15-e66d1a94a67f,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,23,95,2185
12-03-2026,fc2f8665-c9cf-48bf-8aca-609f7d500e51,Nourish You Chia Seeds Truly Clean Chia Seeds for Eating 250.0 GRAM,8908005459828,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Chennai,6,285,1710
